PostalCode,time_epoch,time,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,conditions,icon,code,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,is_moon_up,is_sun_up
72762,1712206800,2024-04-04 00:00,4.1,39.3,0,5.8,9.4,290,WNW,1011.0,29.87,0.0,0.0,0.0,74,2,1.6,35.0,1.6,35.0,4.1,39.3,-0.1,31.8,0,0,0,0,10.0,6.0,12.2,19.7,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712210400,2024-04-04 01:00,3.5,38.4,0,5.8,9.4,295,WNW,1012.0,29.87,0.0,0.0,0.0,76,0,1.1,34.0,1.1,34.0,3.5,38.4,-0.4,31.4,0,0,0,0,10.0,6.0,12.2,19.7,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712214000,2024-04-04 02:00,3.0,37.5,0,5.6,9.0,303,WNW,1012.0,29.88,0.0,0.0,0.0,77,0,0.6,33.1,0.6,33.1,3.0,37.5,-0.6,31.0,0,0,0,0,10.0,6.0,11.7,18.9,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712217600,2024-04-04 03:00,2.6,36.6,0,5.4,8.6,302,WNW,1012.0,29.89,0.0,0.0,0.0,78,0,0.1,32.2,0.1,32.2,2.6,36.6,-1.0,30.3,0,0,0,0,10.0,6.0,11.3,18.1,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712221200,2024-04-04 04:00,2.1,35.8,0,5.1,8.3,299,WNW,1013.0,29.9,0.0,0.0,0.0,78,0,-0.4,31.2,-0.4,31.2,2.1,35.8,-1.4,29.5,0,0,0,0,10.0,6.0,10.8,17.4,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712224800,2024-04-04 05:00,1.7,35.1,0,5.4,8.6,295,WNW,1013.0,29.91,0.0,0.0,0.0,78,0,-1.0,30.3,-1.0,30.3,1.7,35.1,-1.7,29.0,0,0,0,0,10.0,6.0,11.3,18.1,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712228400,2024-04-04 06:00,1.3,34.3,0,5.6,9.0,293,WNW,1013.0,29.93,0.0,0.0,0.0,79,0,-1.5,29.3,-1.5,29.3,1.3,34.3,-2.0,28.4,0,0,0,0,10.0,6.0,11.7,18.9,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712232000,2024-04-04 07:00,2.0,35.6,1,5.6,9.0,300,WNW,1014.0,29.95,0.0,0.0,0.0,79,0,-0.7,30.8,-0.7,30.8,2.0,35.6,-2.3,28.0,0,0,0,0,10.0,6.0,11.7,18.9,2.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712235600,2024-04-04 08:00,3.9,39.0,1,5.6,9.0,304,NW,1015.0,29.97,0.0,0.0,0.0,73,0,1.0,33.8,1.0,33.8,3.9,39.0,-1.6,29.0,0,0,0,0,10.0,6.0,10.2,16.4,2.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
72762,1712239200,2024-04-04 09:00,6.1,42.9,1,9.6,15.5,318,NW,1015.0,29.97,0.0,0.0,0.0,61,0,3.2,37.8,3.2,37.8,6.1,42.9,-1.1,29.9,0,0,0,0,10.0,6.0,11.9,19.2,3.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:58 AM,07:42 PM,04:43 AM,03:02 PM,Waning Crescent,30,0,1
