PostalCode,time_epoch,time,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,conditions,icon,code,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,is_moon_up,is_sun_up
79938,1712210400,2024-04-04 00:00,16.5,61.7,0,8.1,13.0,188,S,1014.0,29.95,0.0,0.0,0.0,19,0,16.5,61.7,16.5,61.7,16.5,61.7,-7.5,18.6,0,0,0,0,10.0,6.0,15.5,24.9,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712214000,2024-04-04 01:00,15.8,60.4,0,6.9,11.2,185,S,1014.0,29.95,0.0,0.0,0.0,20,0,15.8,60.4,15.8,60.4,15.8,60.4,-7.2,19.0,0,0,0,0,10.0,6.0,13.9,22.4,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712217600,2024-04-04 02:00,15.1,59.2,0,5.6,9.0,178,S,1014.0,29.95,0.0,0.0,0.0,21,0,15.1,59.1,15.1,59.1,15.1,59.2,-7.2,19.0,0,0,0,0,10.0,6.0,11.7,18.9,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712221200,2024-04-04 03:00,14.6,58.2,0,4.5,7.2,174,S,1014.0,29.94,0.0,0.0,0.0,22,0,14.5,58.1,14.5,58.1,14.6,58.2,-7.1,19.2,0,0,0,0,10.0,6.0,9.4,15.1,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712224800,2024-04-04 04:00,14.0,57.3,0,4.3,6.8,167,SSE,1014.0,29.94,0.0,0.0,0.0,22,0,14.0,57.1,14.0,57.1,14.0,57.3,-7.2,19.1,0,0,0,0,10.0,6.0,8.9,14.4,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712228400,2024-04-04 05:00,13.6,56.5,0,4.0,6.5,169,S,1014.0,29.93,0.0,0.0,0.0,23,0,13.4,56.1,13.4,56.1,13.6,56.5,-7.1,19.2,0,0,0,0,10.0,6.0,8.5,13.6,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712232000,2024-04-04 06:00,13.3,55.9,0,4.7,7.6,172,S,1014.0,29.94,0.0,0.0,0.0,23,0,12.8,55.0,12.8,55.0,13.3,55.9,-7.2,19.0,0,0,0,0,10.0,6.0,9.9,15.9,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712235600,2024-04-04 07:00,12.9,55.2,1,5.8,9.4,164,SSE,1014.0,29.94,0.0,0.0,0.0,24,0,12.2,54.0,12.2,54.0,12.9,55.2,-7.3,18.8,0,0,0,0,10.0,6.0,12.2,19.7,4.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712239200,2024-04-04 08:00,13.5,56.2,1,6.5,10.4,165,SSE,1015.0,29.96,0.0,0.0,0.0,24,0,12.8,55.1,12.8,55.1,13.5,56.2,-7.2,19.0,0,0,0,0,10.0,6.0,13.6,21.9,4.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712242800,2024-04-04 09:00,14.9,58.9,1,6.0,9.7,163,SSE,1015.0,29.98,0.0,0.0,0.0,24,0,14.6,58.3,14.6,58.3,14.9,58.9,-6.3,20.8,0,0,0,0,10.0,6.0,11.2,18.0,4.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
79938,1712246400,2024-04-04 10:00,17.1,62.8,1,2.2,3.6,10,N,1020.0,30.12,0.0,0.0,0.0,18,0,16.5,61.6,16.5,61.6,16.6,61.9,-6.6,20.2,0,0,0,0,11.0,6.0,7.8,12.5,5.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:48 AM,07:27 PM,04:22 AM,03:02 PM,Waning Crescent,30,0,1
