PostalCode,time_epoch,time,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,conditions,icon,code,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,is_moon_up,is_sun_up
72903,1712206800,2024-04-04 00:00,6.0,42.8,0,3.8,6.1,269,W,1012.0,29.87,0.0,0.0,0.0,70,0,4.6,40.4,4.6,40.4,6.0,42.8,0.8,33.5,0,0,0,0,10.0,6.0,8.0,12.9,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712210400,2024-04-04 01:00,5.5,41.9,0,4.3,6.8,266,W,1012.0,29.87,0.0,0.0,0.0,72,0,3.9,39.0,3.9,39.0,5.5,41.9,0.8,33.4,0,0,0,0,10.0,6.0,8.9,14.4,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712214000,2024-04-04 02:00,5.0,41.0,0,4.9,7.9,256,WSW,1012.0,29.89,0.0,0.0,0.0,74,0,3.3,37.9,3.3,37.9,5.0,41.0,0.7,33.3,0,0,0,0,10.0,6.0,10.3,16.6,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712217600,2024-04-04 03:00,4.7,40.4,0,4.9,7.9,262,W,1012.0,29.9,0.0,0.0,0.0,76,0,2.8,37.1,2.8,37.1,4.7,40.4,0.7,33.3,0,0,0,0,10.0,6.0,10.3,16.6,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712221200,2024-04-04 04:00,4.3,39.7,0,4.9,7.9,274,W,1013.0,29.9,0.0,0.0,0.0,77,0,2.4,36.3,2.4,36.3,4.3,39.7,0.6,33.1,0,0,0,0,10.0,6.0,10.3,16.6,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712224800,2024-04-04 05:00,3.9,39.1,0,4.7,7.6,284,WNW,1013.0,29.91,0.0,0.0,0.0,77,0,2.1,35.8,2.1,35.8,3.9,39.1,0.3,32.6,0,0,0,0,10.0,6.0,9.9,15.9,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712228400,2024-04-04 06:00,3.6,38.5,0,4.3,6.8,286,WNW,1013.0,29.92,0.0,0.0,0.0,77,0,1.8,35.2,1.8,35.2,3.6,38.5,-0.0,31.9,0,0,0,0,10.0,6.0,8.9,14.4,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712232000,2024-04-04 07:00,4.4,39.9,1,4.3,6.8,273,W,1014.0,29.95,0.0,0.0,0.0,77,0,2.8,37.0,2.8,37.0,4.4,39.9,-0.4,31.4,0,0,0,0,10.0,6.0,8.9,14.4,2.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712235600,2024-04-04 08:00,6.4,43.5,1,4.0,6.5,271,W,1015.0,29.98,0.0,0.0,0.0,73,0,4.7,40.4,4.7,40.4,6.4,43.5,0.7,33.2,0,0,0,0,10.0,6.0,7.2,11.6,3.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712239200,2024-04-04 09:00,8.6,47.5,1,6.5,10.4,300,WNW,1015.0,29.99,0.0,0.0,0.0,58,0,7.0,44.5,7.0,44.5,8.6,47.5,0.6,33.0,0,0,0,0,10.0,6.0,8.1,13.0,3.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712242800,2024-04-04 10:00,10.7,51.3,1,7.8,12.6,307,NW,1016.0,30.0,0.0,0.0,0.0,49,0,9.2,48.6,9.2,48.6,10.7,51.3,0.7,33.3,0,0,0,0,10.0,6.0,9.0,14.5,4.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712246400,2024-04-04 11:00,15.6,60.1,1,13.6,22.0,360,N,1016.0,29.99,0.0,0.0,0.0,33,0,11.4,52.5,11.4,52.5,12.6,54.8,0.5,32.9,0,0,0,0,16.0,9.0,18.1,29.2,4.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712250000,2024-04-04 12:00,14.3,57.7,1,9.4,15.1,312,NW,1016.0,29.99,0.0,0.0,0.0,38,0,13.6,56.5,13.6,56.5,14.3,57.7,0.3,32.6,0,0,0,0,10.0,6.0,10.8,17.4,4.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712253600,2024-04-04 13:00,15.6,60.0,1,9.6,15.5,313,NW,1015.0,29.97,0.0,0.0,0.0,35,0,15.3,59.5,15.3,59.5,15.6,60.0,0.3,32.5,0,0,0,0,10.0,6.0,11.1,17.8,5.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712257200,2024-04-04 14:00,16.6,61.8,1,9.8,15.8,310,NW,1014.0,29.96,0.0,0.0,0.0,33,0,16.4,61.5,16.4,61.5,16.6,61.8,0.5,32.9,0,0,0,0,10.0,6.0,11.3,18.2,5.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712260800,2024-04-04 15:00,17.2,63.0,1,10.1,16.2,306,NW,1014.0,29.94,0.0,0.0,0.0,32,0,17.1,62.8,17.1,62.8,17.2,63.0,0.8,33.5,0,0,0,0,10.0,6.0,11.6,18.6,5.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712264400,2024-04-04 16:00,17.5,63.4,1,10.1,16.2,308,NW,1013.0,29.92,0.0,0.0,0.0,32,0,17.4,63.4,17.4,63.4,17.5,63.4,1.2,34.1,0,0,0,0,10.0,6.0,11.6,18.6,5.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712268000,2024-04-04 17:00,17.1,62.7,1,9.2,14.8,314,NW,1013.0,29.92,0.0,0.0,0.0,37,0,17.1,62.7,17.1,62.7,17.1,62.7,2.9,37.2,0,0,0,0,10.0,6.0,11.4,18.3,5.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712271600,2024-04-04 18:00,15.3,59.5,1,7.8,12.6,322,NW,1014.0,29.93,0.0,0.0,0.0,44,0,15.1,59.2,15.1,59.2,15.3,59.5,4.4,39.8,0,0,0,0,10.0,6.0,11.4,18.3,5.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
72903,1712275200,2024-04-04 19:00,12.7,54.8,1,4.9,7.9,327,NNW,1014.0,29.95,0.0,0.0,0.0,57,0,12.3,54.1,12.3,54.1,12.7,54.8,5.3,41.5,0,0,0,0,10.0,6.0,10.3,16.6,4.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:59 AM,07:42 PM,04:42 AM,03:05 PM,Waning Crescent,30,0,1
