PostalCode,time_epoch,time,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,conditions,icon,code,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,is_moon_up,is_sun_up
80209,1712210400,2024-04-04 00:00,12.0,53.5,0,3.6,5.8,214,SW,1012.0,29.88,0.0,0.0,0.0,32,0,11.6,52.9,11.6,52.9,12.0,53.5,-4.4,24.2,0,0,0,0,10.0,6.0,6.4,10.4,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712214000,2024-04-04 01:00,11.2,52.2,0,4.3,6.8,208,SSW,1012.0,29.89,0.0,0.0,0.0,32,0,10.7,51.3,10.7,51.3,11.2,52.2,-4.8,23.3,0,0,0,0,10.0,6.0,7.7,12.5,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712217600,2024-04-04 02:00,10.6,51.1,0,4.3,6.8,204,SSW,1012.0,29.89,0.0,0.0,0.0,33,0,10.0,50.0,10.0,50.0,10.6,51.1,-5.2,22.6,0,0,0,0,10.0,6.0,7.8,12.6,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712221200,2024-04-04 03:00,10.1,50.1,0,4.3,6.8,212,SSW,1012.0,29.89,0.0,0.0,0.0,32,0,9.3,48.8,9.3,48.8,10.1,50.1,-5.7,21.7,0,0,0,0,10.0,6.0,7.9,12.6,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712224800,2024-04-04 04:00,9.6,49.3,0,4.5,7.2,216,SW,1012.0,29.89,0.0,0.0,0.0,31,0,8.7,47.7,8.7,47.7,9.6,49.3,-6.5,20.2,0,0,0,0,10.0,6.0,8.4,13.5,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712228400,2024-04-04 05:00,9.1,48.4,0,4.5,7.2,214,SW,1012.0,29.89,0.0,0.0,0.0,31,0,8.2,46.8,8.2,46.8,9.1,48.4,-7.3,19.0,0,0,0,0,10.0,6.0,8.6,13.8,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712232000,2024-04-04 06:00,8.8,47.8,0,4.0,6.5,215,SW,1012.0,29.89,0.0,0.0,0.0,31,0,7.9,46.2,7.9,46.2,8.8,47.8,-7.7,18.1,0,0,0,0,10.0,6.0,8.0,12.9,1.0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712235600,2024-04-04 07:00,9.3,48.8,1,4.0,6.5,219,SW,1012.0,29.9,0.0,0.0,0.0,31,0,8.6,47.4,8.6,47.4,9.3,48.8,-7.8,18.0,0,0,0,0,10.0,6.0,8.0,12.9,3.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712239200,2024-04-04 08:00,10.8,51.4,1,3.8,6.1,209,SSW,1012.0,29.9,0.0,0.0,0.0,28,0,10.3,50.5,10.3,50.5,10.8,51.4,-7.5,18.5,0,0,0,0,10.0,6.0,6.1,9.8,3.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
80209,1712242800,2024-04-04 09:00,12.6,54.7,1,4.0,6.5,206,SSW,1012.0,29.87,0.0,0.0,0.0,24,0,12.5,54.4,12.5,54.4,12.6,54.7,-7.5,18.6,0,0,0,0,10.0,6.0,4.6,7.5,4.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,06:38 AM,07:28 PM,04:37 AM,02:39 PM,Waning Crescent,30,0,1
